date,preco_cafe,cotacao_dolar,index,chuva,temp,temp_max,temp_min,umidade
2012-12-27,147.89999389648438,2.0480000972747803,361,0.0,23.84583333333333,31.8,19.1,74.125
2012-12-28,146.85000610351562,2.0416998863220215,362,0.0,21.4875,29.7,17.8,83.125
2012-12-31,143.8000030517578,2.045099973678589,365,0.0,23.541666666666668,30.4,18.4,72.875
2013-01-02,149.39999389648438,2.045599937438965,367,0.6000000000000001,23.325,28.4,18.7,76.45833333333333
2013-01-03,146.5,2.045599937438965,368,2.2,21.791666666666668,26.7,19.3,87.79166666666667
2013-01-04,147.35000610351562,2.0487000942230225,369,19.0,22.04583333333333,29.1,18.6,81.33333333333333
2013-01-07,150.39999389648438,2.032399892807007,372,2.0,21.383333333333336,29.2,17.0,83.16666666666667
2013-01-08,148.14999389648438,2.026400089263916,373,0.0,23.47083333333333,30.3,18.3,75.70833333333333
2013-01-09,147.89999389648438,2.04010009765625,374,34.0,21.125000000000004,27.3,19.1,91.625
2013-01-10,149.64999389648438,2.0476999282836914,375,33.4,20.258333333333336,23.0,17.0,95.58333333333331
2013-01-11,153.35000610351562,2.0276999473571777,376,46.2,18.316666666666663,21.1,17.0,96.20833333333331
2013-01-14,153.3000030517578,2.0297000408172607,379,56.4,17.350000000000005,19.7,15.8,98.125
2013-01-15,152.5,2.032399892807007,380,9.599999999999998,19.09583333333333,26.2,16.3,90.29166666666669
2013-01-17,155.5,2.040800094604492,382,8.599999999999998,20.89583333333333,27.6,17.2,83.04166666666667
2013-01-18,156.3000030517578,2.037100076675415,383,1.0,21.312500000000004,28.6,16.5,79.875
2013-01-22,148.60000610351562,2.0387001037597656,387,0.0,20.97083333333333,27.9,14.7,69.33333333333333
2013-01-23,150.39999389648438,2.0409998893737793,388,0.0,21.850000000000005,27.6,17.1,69.25
2013-01-24,146.5500030517578,2.033900022506714,389,1.2000000000000002,22.183333333333334,28.1,17.7,78.08333333333333
2013-01-25,148.3000030517578,2.0285000801086426,390,0.0,24.04583333333333,29.4,20.8,77.04166666666667
2013-01-28,149.0,2.0285000801086426,393,9.2,21.041666666666668,26.7,17.4,86.08333333333333
2013-01-29,149.8000030517578,1.9940999746322632,394,5.6,20.875,27.7,18.1,88.79166666666667
2013-01-30,147.6999969482422,1.9864000082015991,395,69.0,20.741666666666664,25.8,19.0,94.91666666666669
2013-01-31,146.9499969482422,1.9882999658584595,396,0.2,21.379166666666663,25.3,19.0,89.70833333333333
2013-02-01,147.9499969482422,1.9905999898910522,397,22.0,22.445833333333336,28.4,18.3,83.375
2013-02-04,144.35000610351562,1.9864000082015991,400,53.0,19.854166666666664,22.4,18.4,97.0
2013-02-05,144.0500030517578,1.9946999549865723,401,34.2,19.72083333333333,23.4,17.5,96.75
2013-02-06,142.10000610351562,1.9829000234603882,402,1.4,20.625,27.5,17.1,85.45833333333333
2013-02-07,140.3000030517578,1.9859000444412231,403,26.79999999999999,19.025,21.8,17.2,97.79166666666669
2013-02-08,141.0500030517578,1.9635000228881836,404,0.2,21.416666666666668,29.1,17.2,82.875
2013-02-11,140.14999389648438,1.9701000452041626,407,14.599999999999998,22.2625,30.7,17.0,80.41666666666667
2013-02-12,140.64999389648438,1.9707000255584717,408,0.0,23.6375,30.4,17.6,68.75
2013-02-13,138.75,1.9687999486923218,409,0.0,24.0,30.8,18.3,67.45833333333333
2013-02-14,138.0,1.9641000032424927,410,0.0,24.262500000000003,31.7,19.0,70.58333333333333
2013-02-15,136.9499969482422,1.9562000036239624,411,0.2,24.679166666666664,31.9,19.7,66.41666666666667
2013-02-19,136.5,1.9596999883651733,415,4.6,23.662499999999994,30.0,18.5,71.54166666666667
2013-02-20,141.0,1.9538999795913696,416,0.2,23.120833333333334,30.4,17.3,69.91666666666667
2013-02-21,141.75,1.9601000547409058,417,0.0,23.033333333333328,30.1,15.8,60.333333333333336
